V,Si,So,TSi,TSo,Ni,No,TKNi,TKNo,M,DO,i,Sig/TS,Sig,Q,Th_c,Th,dS,dTS,dN,TKN,Thn,Th_cn
2952,240,39,280,23,47,11,96,25,2490,2.35,55,0.61,171,1578.74,9.33,9.2,201,257,36,71,2.3,11.26630721
3006,260,42,285,16,49,12,97,26,2510,2.12,49,0.61,175,1523.9,10.55,9.18,218,269,37,71,2.295,12.25994497
2961,251,39,297,25,51,11,87,23,2659,2.28,51,0.64,189,1479.26,8.99,9.17,212,272,40,64,2.2925,11.26339917
3114,203,33,231,20,42,11,85,22,2597,1.66,37,0.6,138,1618.44,9.94,9.19,170,211,31,63,2.2975,12.68098434
2952,247,40,289,21,55,13,98,25,2506,2.38,55,0.61,177,1612.26,11.43,9.14,207,268,42,73,2.285,15.69369817
3078,210,34,236,17,44,11,96,25,2486,1.81,43,0.59,140,1645.53,10.61,9.2,176,219,33,71,2.3,13.70762121
2916,256,43,313,24,52,13,93,25,2480,2.04,46,0.63,199,1545.94,8.57,9.19,213,289,39,68,2.2975,10.73389962
2988,252,40,313,18,51,13,100,26,2645,2.07,48,0.64,199,1664.33,8.89,9.22,212,295,38,74,2.305,11.09391223
2925,211,33,237,20,39,10,80,20,2421,1.69,37,0.62,147,1544.74,9.18,9.22,178,217,29,60,2.305,10.46256483
2889,246,41,271,25,47,12,86,22,2508,2.4,56,0.62,167,1537.38,8.22,9.15,205,246,35,64,2.2875,9.683846519
3105,202,32,223,20,39,10,86,22,2639,1.94,44,0.63,140,1719.07,12.98,9.19,170,203,29,64,2.2975,15.4525892
2916,235,38,284,22,53,12,106,28,2414,2.31,53,0.6,169,1477.33,8.62,9.19,197,262,41,78,2.2975,11.98749951
3051,257,42,290,19,52,12,102,26,2491,2.33,53,0.63,183,1672.59,10.88,9.19,215,271,40,76,2.2975,13.57414378
2880,232,38,273,19,53,13,97,26,2534,1.86,44,0.61,168,1650.1,9.74,9.13,194,254,40,71,2.2825,13.72019143
3006,243,40,298,25,52,12,102,26,2514,2.26,53,0.6,179,1673.13,11.64,9.18,203,273,40,76,2.295,15.35901553
3042,214,35,237,18,49,11,101,27,2461,1.8,39,0.66,155,1586.22,9.49,9.16,179,219,38,74,2.29,13.39867486
2970,221,37,260,23,45,10,78,19,2470,1.75,40,0.63,165,1591.02,9.1,9.14,184,237,35,59,2.285,11.42549334
3123,212,36,249,20,50,12,106,27,2477,1.72,38,0.65,161,1759.64,10.54,9.2,176,229,38,79,2.3,15.32809148
2970,268,44,333,22,51,13,89,23,2679,2.47,55,0.61,202,1480.01,9.38,9.15,224,311,38,66,2.2875,11.00655859
2979,200,32,233,18,39,9,71,18,2623,1.79,40,0.6,139,1552.7,12.23,9.21,168,215,30,53,2.3025,14.70531723
2970,252,40,308,26,53,12,110,28,2447,2.19,51,0.64,198,1610.27,9.7,9.16,212,282,41,82,2.29,12.57941348
3042,211,36,233,17,41,10,74,20,2584,1.82,43,0.65,151,1678.11,9.48,9.14,175,216,31,54,2.285,11.35855455
3141,217,37,238,21,44,11,88,22,2615,1.79,41,0.64,152,1643.05,11.73,9.22,180,217,33,66,2.305,14.66575022
3051,215,35,250,19,50,12,105,27,2412,1.78,42,0.63,158,1717.37,8.6,9.12,180,231,38,78,2.28,12.33227853
2943,248,39,297,23,55,13,110,29,2588,2.01,45,0.64,190,1631.8,10.3,9.18,209,274,42,81,2.295,14.0851528
3042,211,34,236,20,49,12,99,25,2460,2.07,47,0.61,144,1663.81,11.59,9.17,177,216,37,74,2.2925,16.59626611
3105,243,39,278,24,49,11,89,24,2586,2.21,52,0.63,175,1540.61,10.11,9.19,204,254,38,65,2.2975,12.57055033
2979,226,36,264,22,49,12,84,22,2671,2.08,47,0.6,159,1665.66,13,9.18,190,242,37,62,2.295,17.37978191
3114,237,38,278,25,50,12,105,27,2534,2.31,53,0.65,180,1702.09,9.77,9.13,199,253,38,78,2.2825,12.70953178
3042,237,38,265,21,54,13,107,27,2521,1.92,43,0.61,161,1666,8.53,9.16,199,244,41,80,2.29,11.98416485
3042,264,43,323,24,54,13,94,24,2695,2.4,55,0.61,197,1683.52,9.16,9.19,221,299,41,70,2.2975,11.55310275
2988,250,39,290,21,47,10,90,23,2443,2.2,50,0.65,187,1481.51,10.19,9.2,211,269,37,67,2.3,11.81259631
2952,250,41,280,23,47,12,89,23,2635,2.11,48,0.64,180,1513.39,9.4,9.13,209,257,35,66,2.2825,10.89680131
2979,265,42,321,19,53,12,106,27,2441,2.16,50,0.61,196,1628.19,9.03,9.22,223,302,41,79,2.305,11.13604751
3069,254,43,289,25,52,12,100,26,2688,2.12,47,0.66,189,1620.72,9.35,9.13,211,264,40,74,2.2825,11.8030587
3141,203,34,247,16,44,11,86,22,2475,1.92,46,0.63,155,1784.24,11.78,9.21,169,231,33,64,2.3025,15.74400642
3060,261,41,301,27,54,12,94,23,2476,2.5,56,0.63,191,1709.59,7.7,9.19,220,274,42,71,2.2975,9.823297726
2934,226,38,276,26,54,13,113,28,2628,1.91,42,0.62,172,1463.71,10.66,9.24,188,250,41,85,2.31,15.70564782
3024,214,34,258,19,42,10,80,21,2466,2.08,49,0.62,159,1564.71,10.31,9.14,180,239,32,59,2.285,12.47692348
2952,219,35,254,17,48,11,87,22,2462,1.87,44,0.61,156,1492.13,11.43,9.16,184,237,37,65,2.29,15.44744587
3051,235,37,276,21,47,12,83,22,2452,1.98,43,0.59,164,1676.79,11.45,9.17,198,255,35,61,2.2925,14.12045892
3033,256,42,285,18,52,12,104,27,2550,2.4,55,0.64,183,1707.16,9.13,9.12,214,267,40,77,2.28,11.43529796
3042,247,41,296,18,50,11,104,26,2412,2.28,52,0.6,179,1681.43,7.54,9.2,206,278,39,78,2.3,9.411475721
3141,230,39,278,20,48,11,88,22,2661,1.88,43,0.6,167,1698.42,11.75,9.19,191,258,37,66,2.2975,15.12044585
3069,254,42,316,20,56,13,110,29,2480,2.27,50,0.63,199,1720.57,9.78,9.2,212,296,43,81,2.3,13.29555572
3078,232,39,283,16,44,10,86,22,2694,2.06,49,0.65,185,1737.55,10.48,9.23,193,267,34,64,2.3075,12.25573335
2889,240,40,276,24,51,12,99,25,2440,2.02,48,0.6,165,1514.78,9.06,9.15,200,252,39,74,2.2875,11.87135962
2889,223,36,254,19,51,11,106,27,2483,2.04,48,0.61,155,1647.62,10.03,9.21,187,235,40,79,2.3025,14.14423865
3042,223,38,260,21,40,10,77,21,2483,1.84,40,0.63,163,1713.84,11.61,9.16,185,239,30,56,2.29,12.84105415
3087,245,40,270,20,44,11,86,22,2402,2.2,50,0.61,164,1644.45,9.62,9.19,205,250,33,64,2.2975,10.65307522
3060,246,40,289,19,54,12,99,26,2654,1.99,47,0.6,175,1623.8,9.82,9.18,206,270,42,73,2.295,13.29178996
2925,254,40,280,25,51,13,101,25,2695,2.39,56,0.66,184,1476.38,10.78,9.18,214,255,38,76,2.295,13.34653561
3033,214,36,259,19,47,11,90,22,2409,1.97,47,0.59,154,1681,9.26,9.14,178,240,36,68,2.285,12.5403137
2961,203,34,242,16,40,11,74,19,2616,1.71,38,0.6,145,1609.02,14.79,9.19,169,226,29,55,2.2975,17.96989157
3033,219,35,243,20,46,11,90,23,2500,2,48,0.6,145,1634.99,11.8,9.17,184,223,35,67,2.2925,15.28301549
3087,230,38,278,22,50,12,90,23,2463,2.19,51,0.59,165,1703.34,9.12,9.13,192,256,38,67,2.2825,12.22504133
2961,261,42,289,25,52,13,95,24,2589,2.34,55,0.64,184,1699.51,8.33,9.2,219,264,39,71,2.3,10.23342868
3024,202,35,246,22,48,11,92,25,2449,1.9,46,0.65,160,1707.75,11.41,9.14,167,224,37,67,2.285,16.71817402
3132,209,33,233,22,42,11,74,18,2622,2.05,44,0.63,148,1705.56,11.21,9.21,176,211,31,56,2.3025,13.89063009
2961,249,42,298,28,52,12,97,25,2602,2.08,45,0.64,190,1639.86,8.71,9.19,207,270,40,72,2.2975,11.21593492
3006,259,43,311,22,53,12,113,30,2480,2.49,57,0.62,194,1553.3,8.78,9.2,216,289,41,83,2.3,11.07857624
2907,238,41,292,20,46,11,92,24,2448,2.09,50,0.65,190,1558.79,9.19,9.13,197,272,35,68,2.2825,10.95241056
3015,249,41,273,23,48,12,90,23,2651,2.02,47,0.65,178,1605.51,8.75,9.15,208,250,36,67,2.2875,10.40071683
2961,245,40,293,19,54,13,107,28,2684,2.1,50,0.66,193,1656.66,9.01,9.22,205,274,41,79,2.305,12.24519754
3051,241,41,267,24,47,11,92,23,2408,2.26,49,0.6,160,1633.08,9.74,9.15,200,243,36,69,2.2875,11.71259433
2934,225,37,259,18,43,10,82,21,2464,2.01,47,0.63,162,1697.02,12.05,9.13,188,241,33,61,2.2825,14.1999336
3087,240,38,270,19,53,13,113,29,2436,2.18,51,0.64,174,1608.16,7.84,9.21,202,251,40,84,2.3025,10.67564245
3114,210,34,258,22,43,11,91,23,2443,1.77,40,0.61,156,1689.66,10.16,9.15,176,236,32,68,2.2875,12.82791868
2979,234,40,263,19,51,12,93,24,2642,1.86,45,0.65,171,1627.17,10.5,9.14,194,244,39,69,2.285,14.11097255
3114,267,44,310,22,54,13,102,27,2521,2.47,58,0.63,197,1762.69,8.9,9.2,223,288,41,75,2.3,11.09905068
2925,236,37,293,25,50,12,95,24,2588,2.06,47,0.64,187,1679.55,10.73,9.15,199,268,38,71,2.2875,14.01751575
2979,246,40,278,22,50,11,95,24,2558,2.39,53,0.62,173,1630.82,8.09,9.16,206,256,39,71,2.29,10.13903794
3105,215,35,265,21,49,11,95,24,2685,2,48,0.66,174,1546.9,13.63,9.2,180,244,38,71,2.3,19.15432294
3123,209,34,230,16,46,11,80,22,2664,2.01,46,0.62,143,1741.23,13.7,9.21,175,214,35,58,2.3025,18.59282758
2934,244,39,270,17,52,12,99,26,2401,2.02,47,0.65,175,1607.92,11.07,9.15,205,253,40,73,2.2875,14.54703445
3087,207,34,255,22,45,11,94,24,2507,1.98,47,0.64,164,1634.29,12.37,9.16,173,233,34,70,2.29,16.58155276
3078,257,41,284,23,54,12,108,28,2659,2.45,59,0.6,170,1621.44,10.62,9.16,216,261,42,80,2.29,13.75936788
3087,269,44,333,29,52,13,105,27,2690,2.39,56,0.62,205,1784.47,9.69,9.13,225,304,39,78,2.2825,11.55016451
2961,241,40,269,20,50,13,94,25,2642,2.09,45,0.6,162,1510.31,10.54,9.13,201,249,37,69,2.2825,13.48363234
3105,217,37,245,18,41,11,78,21,2515,1.89,42,0.62,151,1627.84,12.17,9.2,180,227,30,57,2.3,14.17842631
2952,269,46,300,20,51,12,93,24,2585,2.57,58,0.59,177,1673.39,8.44,9.19,223,280,39,69,2.2975,9.866739723
3024,247,41,297,20,52,13,110,28,2519,2.25,54,0.59,176,1637.54,10.09,9.22,206,277,39,82,2.305,13.09817793
3141,259,41,318,26,54,13,96,25,2672,2.47,59,0.6,192,1585.89,11.17,9.22,218,292,41,71,2.305,14.36020032
3132,209,36,237,18,48,11,87,22,2419,1.86,42,0.6,142,1644.1,10.39,9.14,173,219,37,65,2.285,14.71376543
2943,213,35,261,20,42,10,90,23,2453,1.95,43,0.64,167,1631.85,9.4,9.18,178,241,32,67,2.295,11.4290694
2970,211,35,262,17,48,11,98,26,2582,1.93,43,0.6,156,1698.3,11.11,9.23,176,245,37,72,2.3075,15.58425947
2988,264,43,328,27,55,14,98,24,2444,2.35,52,0.65,212,1592.21,7.44,9.23,221,301,41,74,2.3075,9.557515861
2907,269,42,329,24,53,13,94,24,2505,2.49,58,0.64,211,1681.11,7.68,9.13,227,305,40,70,2.2825,9.330354374
3069,225,37,257,18,42,10,81,21,2414,1.89,44,0.63,163,1622.54,8.68,9.21,188,239,32,60,2.3025,9.990789914
3132,243,39,270,22,52,12,93,25,2404,2.32,51,0.64,172,1783.94,8.94,9.14,204,248,40,68,2.285,11.79635729
2988,254,42,300,22,52,12,100,26,2412,2.03,47,0.63,188,1647.37,8.4,9.18,212,278,40,74,2.295,10.60381745
3105,269,43,304,25,57,14,109,28,2439,2.21,50,0.63,191,1706.8,7.34,9.21,226,279,43,81,2.3025,9.590294966
3114,212,35,241,15,42,10,81,20,2463,1.8,42,0.61,148,1758.36,9.56,9.22,177,226,32,61,2.305,11.67843508
3069,242,40,266,19,56,14,112,29,2451,2.15,48,0.63,167,1739.4,8.87,9.15,202,247,42,83,2.2875,12.65638304
2961,261,42,311,22,53,12,107,26,2576,2.19,51,0.59,184,1498.75,8.07,9.2,219,289,41,81,2.3,10.10467213
2943,221,37,270,22,51,12,100,25,2660,1.87,43,0.63,169,1694.42,13.51,9.13,184,248,39,75,2.2825,19.22412496
2916,263,44,295,19,51,12,97,25,2492,2.11,50,0.63,185,1446.92,7.43,9.19,219,276,39,72,2.2975,8.884164075
3096,253,41,301,22,56,13,117,29,2548,2.17,48,0.6,180,1714.28,7.78,9.14,212,279,43,88,2.285,10.61843302
2907,251,41,311,27,47,11,80,21,2524,2.43,55,0.64,199,1478.42,9.07,9.2,210,284,36,59,2.3,10.47236457
3042,200,33,229,17,43,10,81,21,2657,1.95,45,0.64,146,1753.59,15.08,9.16,167,212,33,60,2.29,19.99185673
2880,268,45,313,26,53,12,96,25,2501,2.23,52,0.64,201,1470.13,8.6,9.17,223,287,41,71,2.2925,10.48703835
2952,249,40,273,22,52,13,98,25,2411,2.18,49,0.63,173,1685.51,9.37,9.16,209,251,39,73,2.29,12.06582207
2952,220,36,241,20,42,10,93,25,2549,2.06,47,0.61,147,1538.56,12.41,9.16,184,221,32,68,2.29,14.60870504
3096,214,36,234,18,42,10,85,22,2682,1.71,41,0.62,146,1665.65,10.69,9.14,178,216,32,63,2.285,12.93679069
2880,259,43,291,20,47,11,89,22,2623,2.12,50,0.66,191,1638.27,7.95,9.15,216,271,36,67,2.2875,8.895667709
3069,226,37,256,21,45,11,83,21,2452,2.16,48,0.64,163,1694.89,8.88,9.17,189,235,34,62,2.2925,10.9026073
3141,217,35,250,21,46,10,94,24,2506,1.76,42,0.64,161,1733.53,11.7,9.13,182,229,36,70,2.2825,15.29316199
3087,209,34,241,14,42,11,82,21,2699,2.05,45,0.59,143,1608.11,14.29,9.21,175,227,31,61,2.3025,17.70714576
2979,240,40,265,20,44,11,88,23,2485,2.04,48,0.66,174,1676.94,11.91,9.21,200,245,33,65,2.3025,13.46376509
2907,228,38,263,17,48,12,90,23,2410,2.06,50,0.65,172,1505.41,10.34,9.13,190,246,36,67,2.2825,13.42271158
3087,237,39,285,18,44,11,92,23,2606,2.16,48,0.61,173,1676.96,9.59,9.14,198,267,33,69,2.285,10.97832964
3060,242,41,273,20,49,12,89,23,2622,2.17,50,0.62,171,1750.93,9.63,9.23,201,253,37,66,2.3075,12.02320717
3024,210,33,255,18,46,11,87,23,2404,2.02,46,0.6,153,1604.07,11.74,9.23,177,237,35,64,2.3075,15.85696119
2943,218,37,245,16,50,11,103,27,2567,1.84,41,0.6,146,1558.96,10.32,9.15,181,229,39,76,2.2875,14.59508193
2988,220,36,253,19,42,10,80,20,2683,2.1,48,0.61,156,1514.61,9.73,9.18,184,234,32,60,2.295,11.45388396
3105,260,41,322,23,53,13,102,27,2515,2.23,52,0.63,204,1576.98,8.99,9.17,219,299,40,75,2.2925,11.29992452
3114,258,44,315,27,52,13,100,25,2497,2.29,52,0.66,208,1761.49,9.15,9.12,214,288,39,75,2.28,11.37150799
2898,232,38,271,16,51,12,94,25,2572,2.05,47,0.63,172,1629.13,9.79,9.18,194,255,39,69,2.295,13.27022273
3114,243,39,301,29,51,13,91,24,2556,2.3,53,0.62,187,1767,11.09,9.18,204,272,38,67,2.295,14.35187945
2952,209,33,248,18,42,10,81,21,2400,1.98,46,0.6,148,1596.81,9.71,9.14,176,230,32,60,2.285,12.03193739
3132,210,34,246,19,45,11,83,22,2688,1.83,44,0.63,154,1640.16,14.22,9.17,176,227,34,61,2.2925,18.78910722
2898,252,42,282,18,51,11,100,25,2697,2.24,52,0.59,167,1524.66,12.02,9.21,210,264,40,75,2.3025,14.99986783
3024,205,32,236,16,45,11,84,22,2672,2.01,45,0.64,152,1739.53,10.07,9.14,173,220,34,62,2.285,13.63017565
3114,269,43,296,23,55,14,103,28,2661,2.51,61,0.6,179,1697.6,8.8,9.2,226,273,41,75,2.3,11.09446619
3069,222,37,249,21,43,11,93,23,2614,2.07,49,0.63,156,1682.78,9.6,9.19,185,228,32,70,2.2975,11.46568599
2916,202,33,233,19,46,12,94,24,2471,1.71,38,0.63,148,1655.88,11.22,9.21,169,214,34,70,2.3025,15.75479108
2907,225,38,266,18,52,13,100,26,2558,1.8,40,0.64,170,1531.97,11.69,9.15,187,248,39,74,2.2875,16.65898994
2988,237,38,284,21,51,13,102,27,2405,2.18,51,0.59,168,1514.58,9.2,9.18,199,263,38,75,2.295,12.2073947
3069,246,40,279,22,46,10,84,22,2570,2.09,49,0.59,165,1696.67,10.81,9.2,206,257,36,62,2.3,12.46412362
3051,250,40,301,24,46,11,91,23,2616,2.15,48,0.59,178,1618.96,10.16,9.18,210,277,35,68,2.295,11.52722739
2943,240,39,275,20,51,12,95,25,2589,2.05,47,0.65,178,1568.14,11.53,9.19,201,255,39,70,2.2975,15.10781197
2961,251,39,274,25,52,12,105,28,2566,2.08,48,0.65,178,1650.45,8.31,9.13,212,249,40,77,2.2825,10.61558605
2952,245,38,287,27,54,12,98,25,2583,2.12,48,0.64,184,1684.17,9.96,9.13,207,260,42,73,2.2825,13.5363116
3132,218,35,259,20,43,11,82,21,2566,1.91,46,0.64,166,1586.98,12.17,9.19,183,239,32,61,2.2975,14.80184559
3114,242,41,290,21,47,12,94,24,2440,2.16,51,0.63,184,1742.03,10.53,9.22,201,269,35,70,2.305,12.6102644
3141,244,41,271,19,55,13,114,29,2456,1.99,48,0.64,172,1684.02,9.98,9.18,203,252,42,85,2.295,13.87128624
2880,238,40,284,25,48,11,91,23,2445,2.24,53,0.65,185,1554.51,8.48,9.2,198,259,37,68,2.3,10.54565263
2898,233,40,271,16,46,12,90,22,2494,2.26,52,0.61,166,1614.08,8.6,9.18,193,255,34,68,2.295,10.46920469
3033,208,34,235,17,41,10,81,20,2471,1.8,43,0.62,146,1498.46,9.52,9.23,174,218,31,61,2.3075,11.57099749
3114,242,41,279,22,53,12,99,26,2594,1.96,47,0.59,165,1726.29,11.08,9.18,201,257,41,73,2.295,14.96282489
2934,264,41,296,25,52,12,96,25,2667,2.4,56,0.61,180,1452.25,8.24,9.21,223,271,40,71,2.3025,10.00783088
2988,268,44,303,26,52,13,106,28,2406,2.26,51,0.64,194,1671.54,8.54,9.14,224,277,39,78,2.285,10.21738479
3123,225,36,262,18,47,12,85,21,2663,2.1,50,0.6,158,1596.38,11.96,9.15,189,244,35,64,2.2875,15.40493424
3132,247,40,276,16,51,13,99,26,2534,2.28,53,0.61,169,1638.25,10.3,9.22,207,260,38,73,2.305,13.11365569
3015,217,36,260,20,44,11,86,22,2467,1.91,43,0.59,154,1655.11,8.85,9.14,181,240,33,64,2.285,11.06495221
2952,259,43,289,24,59,14,126,32,2409,2.42,58,0.61,175,1663.48,8.37,9.2,216,265,45,94,2.3,11.75685156
2943,228,37,265,19,50,11,108,28,2648,2,45,0.65,173,1668.23,11.69,9.19,191,246,39,80,2.2975,15.80749299
3096,240,39,271,23,53,13,98,25,2480,2.07,50,0.6,162,1703.72,10.56,9.2,201,248,40,73,2.3,14.37943677
2898,255,42,285,23,56,14,98,25,2579,2.05,46,0.65,186,1535.64,9.74,9.24,213,262,42,73,2.31,13.18925098
2952,208,33,232,21,41,11,77,19,2580,1.97,45,0.64,148,1507.61,11.78,9.16,175,211,30,58,2.29,14.31789395
3042,242,40,295,25,46,10,90,23,2639,2.02,48,0.6,177,1516.7,8.47,9.19,202,270,36,67,2.2975,9.927484217
2934,235,38,276,21,46,11,93,24,2450,2.28,50,0.63,175,1550.09,9.89,9.18,197,255,35,69,2.295,11.93712084
2880,267,43,313,23,56,13,107,28,2577,2.4,55,0.64,200,1538.03,7.65,9.17,224,290,43,79,2.2925,9.89353581
2925,268,45,321,21,54,13,99,26,2412,2.39,55,0.63,202,1570.1,9.1,9.16,223,300,41,73,2.29,11.30612252
3006,249,39,276,23,48,12,103,27,2517,2.45,58,0.63,172,1578.61,8.61,9.23,210,253,36,76,2.3075,10.23430536
2934,243,41,294,28,54,13,101,26,2657,2.2,53,0.62,182,1556.05,9.34,9.14,202,266,41,75,2.285,12.79816461
3114,255,42,284,21,50,13,93,24,2519,2.47,56,0.65,186,1693.74,9.83,9.18,213,263,37,69,2.295,11.88493117
2997,257,41,312,25,53,13,98,25,2534,2.52,56,0.63,196,1521.26,7.69,9.22,216,287,40,73,2.305,9.778729107
3015,251,42,291,23,52,12,105,27,2638,2.1,49,0.6,175,1552.16,8.8,9.18,209,268,40,78,2.295,11.24153517
3114,205,35,246,19,43,11,85,21,2548,1.65,38,0.62,152,1588.14,12.8,9.22,170,227,32,64,2.305,16.55533196
2961,201,33,226,17,41,9,75,19,2574,1.94,45,0.66,148,1539.51,10.5,9.14,168,209,32,56,2.285,13.20658186
3114,223,36,250,15,43,10,79,20,2545,2.15,49,0.62,156,1616.47,12.43,9.2,187,235,33,59,2.3,14.77910213
2934,246,41,305,23,48,12,89,22,2430,2.32,51,0.59,181,1644.19,9.33,9.16,205,282,36,67,2.29,11.22538134
2961,208,35,234,18,40,9,78,20,2689,1.92,43,0.65,153,1548.79,13.99,9.22,173,216,31,58,2.305,16.58928622
2925,256,40,290,19,54,13,108,27,2436,2.43,58,0.6,175,1548.71,8.91,9.2,216,271,41,81,2.3,11.58896971
2907,248,39,278,22,50,12,96,25,2506,2.2,51,0.59,165,1643.06,9.51,9.21,209,256,38,71,2.3025,11.8225775
2988,214,36,241,21,49,12,93,24,2675,1.84,43,0.63,153,1677.12,13.72,9.15,178,220,37,69,2.2875,19.37089769
3060,237,40,280,21,56,13,113,28,2597,2.15,49,0.63,176,1726.18,9.37,9.15,197,259,43,85,2.2875,13.65188437
2961,260,42,321,27,59,15,115,30,2672,2.26,53,0.6,193,1639.81,11.17,9.19,218,294,44,85,2.2975,15.62950292
3069,224,38,253,19,44,11,80,20,2698,1.78,39,0.63,159,1638.52,12.05,9.21,186,234,33,60,2.3025,14.59503142
3105,202,32,247,20,36,9,66,17,2538,1.71,39,0.62,154,1760.23,9.9,9.14,170,227,27,49,2.285,10.8792675
3123,252,41,277,22,50,12,96,24,2465,2.28,53,0.66,181,1657.79,9.66,9.22,211,255,38,72,2.305,11.81843359
3123,226,39,261,17,48,11,96,24,2628,1.92,46,0.6,157,1680.34,10.71,9.19,187,244,37,72,2.2975,14.02605696
